Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,KJ4KLD,144.960000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,"Albany, Phoebe Putney Mem Hospital KJ4KLD [FM DSTAR]",,,,
1,W4PVW,145.120000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,"Tifton, Tiftnet Tower W4PVW [FM DSTAR]",,,,
2,W4VLD,145.140000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Valdosta W4VLD [FM DSTAR],,,,
3,WR4SG,145.230000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Valdosta WR4SG [FM],,,,
4,KM4EYX,145.250000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Nicholls KM4EYX [FM],,,,
5,N4OME,145.350000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Ashburn N4OME [FM],,,,
6,W4MM,146.730000,-,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,Albany W4MM [FM],,,,
7,W4VLD,146.760000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Valdosta W4VLD [FM AllStar EchoLink],,,,
8,WD4KOW,146.790000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Moultrie WD4KOW [FM],,,,
9,W4MM,146.820000,-,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,"Acree, Radio Sta Tower W4MM [FM]",,,,
10,WA4NKL,146.880000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Quitman WA4NKL [FM],,,,
11,K4VLD,147.075000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Valdosta K4VLD [FM DMR],,,,
12,W4JSF,147.165000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,"Douglas, WOKA Tower W4JSF [FM]",,,,
13,W4UCJ,147.240000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Boston W4UCJ [FM],,,,
14,W4PVW,147.285000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,"Sumner, WOBB Tower W4PVW [FM]",,,,
15,KO4LTS,147.345000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Lakeland KO4LTS [FM YSF],,,,
16,KB4WQA,147.375000,+,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,"Vienna, Brannen-NeSmith Funeral Home KB4WQA [FM]",,,,
