Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,W4PVW,145.120000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Tifton W4PVW [FM DSTAR] mi 0,,,,
1,K4VLD,147.075000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Valdosta K4VLD [FM DMR] mi 44,,,,
2,W4VLD,146.760000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Valdosta W4VLD [FM] mi 44,,,,
3,W4VLD,145.140000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Valdosta W4VLD [FM DSTAR] mi 44,,,,
4,WR4SG,147.135000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Lake Park WR4SG [FM] mi 58,,,,
5,N4SVC,145.410000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,Live Oak N4SVC [FM YSF] mi 87,,,,
6,W1QBI,145.270000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,Wellborn W1QBI [FM] mi 98 OFF-AIR,,,,
7,NF4CQ,145.490000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Lake City NF4CQ [FM] mi 103,,,,
8,NF4CA,147.180000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,Lake City NF4CA [FM] mi 105,,,,
9,WA4ZFQ,146.940000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,Lake City WA4ZFQ [FM] mi 105,,,,
10,AB4GE,147.090000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,Macclenny AB4GE [FM] mi 137,,,,
11,W4NAS,146.835000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Bryceville W4NAS [FM YSF] mi 150,,,,
12,WJ4EOC,146.955000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Jacksonville WJ4EOC [FM] mi 159,,,,
13,W4EMN,147.135000,+,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Jacksonville W4EMN [FM] mi 159,,,,
14,W4IZ,146.700000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Jacksonville W4IZ [FM] mi 159,,,,
15,W4RNG,146.760000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Jacksonville W4RNG [FM] mi 159,,,,
16,K4MKH,146.730000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Orange Park K4MKH [FM YSF] mi 169 OFF-AIR,,,,
17,N4GIH,145.290000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Jacksonville N4GIH [FM YSF] mi 181,,,,
18,W4RNG,146.880000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Jacksonville W4RNG [FM DSTAR] mi 181,,,,
19,KK4BD,146.805000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Durbin KK4BD [FM] mi 185,,,,
20,AB4EY,145.170000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,Saint Augustine AB4EY [FM] mi 205,,,,
21,KX4EOC,145.210000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Saint Augustine KX4EOC [FM] mi 205,,,,
22,KF4MX,146.625000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Saint Augustine KF4MX [FM] mi 205,,,,
23,WX1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather Radio,,,,
24,WX2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather Radio,,,,
25,WX3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather Radio,,,,
26,WX4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather Radio,,,,
27,WX5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather Radio,,,,
28,WX6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather Radio,,,,
29,WX7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather Radio,,,,
