Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,N4OME,145.350000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Ashburn N4OME [FM] mi 0,,,,
1,W4PVW,145.120000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Tifton W4PVW [FM] mi 0,,,,
2,W4MM,146.820000,-,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,Acree W4MM [FM] mi 1,,,,
3,W4PVW,147.285000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Sumner W4PVW [FM] mi 2,,,,
4,WD4KOW,146.790000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Moultrie WD4KOW [FM] mi 16,,,,
5,KO4LTS,147.345000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Lakeland KO4LTS [FM] mi 35,,,,
6,W4VLD,146.760000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Valdosta W4VLD [FM] mi 44,,,,
7,W4VLD,145.140000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Valdosta W4VLD [FM] mi 44,,,,
8,K4VLD,147.075000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Valdosta K4VLD [FM] mi 44,,,,
9,WA4NKL,146.880000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Quitman WA4NKL [FM] mi 44,,,,
10,WR4SG,145.230000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Valdosta WR4SG [FM] mi 49,,,,
11,WR4SG,147.135000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,Lake Park WR4SG [FM] mi 58,,,,
12,W1JXG,145.110000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,Lee W1JXG [FM] mi 72,,,,
13,KM4TTS,145.190000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,Lee KM4TTS [FM] mi 72,,,,
14,N4SVC,145.410000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,Live Oak N4SVC [FM] mi 87,,,,
